Station_Name,Num_Village,Income_Gross,Income_Average,Population,Child,Adult,Old_Age,Young_Adult,Middle_Age,Child_Dependency,Old_Dependency,Higher_Edu,Sec_Edu,Ele_Edu,Uneducated,Male,Married,Immigrant,Birth
頂埔站,30,3059.16,843.21,12895.0,13.01,75.4,11.55,30.34,39.46,17.26,15.32,27.93,50.45,7.95,0.5,49.76,42.46,3.79,0.74
永寧站,49,5171.97,855.15,21287.0,12.7,75.72,11.56,30.71,39.6,16.78,15.26,29.49,49.6,7.58,0.47,49.23,42.74,3.84,0.77
土城站,63,7041.97,872.39,28175.0,12.77,75.67,11.55,30.69,39.66,16.88,15.26,29.8,49.34,7.49,0.45,49.03,42.87,3.97,0.76
海山站,105,10821.72,882.97,42791.0,12.47,74.44,13.08,29.96,39.32,16.75,17.57,30.29,48.71,7.93,0.46,48.97,43.18,3.96,0.76
亞東醫院站,141,13926.27,894.83,54729.0,12.77,73.31,13.92,29.31,38.94,17.41,18.99,30.77,47.87,7.97,0.48,48.84,43.31,3.88,0.75
府中站,171,17141.74,921.7,64776.0,12.7,72.79,14.51,28.76,39.08,17.44,19.93,31.27,47.16,8.21,0.52,48.7,43.59,3.88,0.74
板橋站,165,15787.43,923.78,59895.0,12.6,72.25,15.15,28.29,39.05,17.44,20.97,31.23,47.03,8.46,0.53,48.78,43.49,3.83,0.72
新埔站,166,15749.2,927.46,59319.0,12.46,71.75,15.79,28.09,38.83,17.37,22.01,31.4,46.7,8.72,0.56,48.8,43.48,3.68,0.73
江子翠站,159,15293.14,934.27,57048.0,12.64,71.44,15.92,27.92,38.72,17.69,22.28,31.24,46.46,8.91,0.59,48.81,43.29,3.75,0.74
龍山寺站,144,18113.46,1109.62,52715.0,12.87,69.29,17.85,25.96,38.85,18.58,25.76,37.31,41.71,7.44,0.52,48.43,43.68,5.17,0.76
善導寺站,148,29888.94,1334.86,66134.0,13.9,66.6,19.5,24.39,37.97,20.88,29.28,44.67,35.83,5.19,0.3,47.19,45.04,5.92,0.78
忠孝敦化站,145,34337.39,1400.04,71001.0,13.75,66.13,20.13,24.1,37.68,20.79,30.44,48.35,33.24,4.33,0.24,46.86,46.47,5.16,0.76
國父紀念館站,131,30524.67,1379.65,64122.0,13.46,66.46,20.08,24.45,37.68,20.26,30.21,48.0,33.62,4.54,0.25,46.93,46.67,5.02,0.77
市政府站,124,27457.45,1341.81,59474.0,13.14,66.95,19.91,24.84,37.76,19.63,29.74,47.11,34.48,4.87,0.28,46.98,46.62,4.88,0.78
永春站,97,20773.08,1301.98,46942.0,13.08,67.37,19.56,25.22,37.82,19.41,29.03,46.08,35.22,5.19,0.3,47.16,46.54,4.72,0.8
後山埤站,81,17052.25,1267.64,39787.0,12.66,68.49,18.84,26.06,38.09,18.49,27.51,44.92,36.34,5.61,0.33,47.56,46.48,4.57,0.82
昆陽站,65,13499.43,1224.99,33388.0,13.33,70.19,16.48,27.32,38.35,18.99,23.48,42.09,37.75,6.31,0.39,48.0,46.11,4.52,0.85
南港站,50,10162.25,1189.68,26117.0,13.63,72.03,14.35,28.22,39.08,18.93,19.92,39.29,39.76,6.78,0.44,48.42,45.74,4.78,0.88
動物園站,31,6354.88,1202.66,16319.0,12.45,71.46,16.05,26.97,39.53,17.42,22.47,43.43,37.59,5.96,0.42,48.12,45.62,3.87,0.8
木柵站,41,8440.16,1202.82,21577.0,12.71,70.99,16.28,26.73,39.36,17.9,22.93,43.59,37.31,5.83,0.4,47.93,45.7,4.06,0.79
萬芳社區站,51,10751.39,1200.6,27293.0,12.74,70.55,16.69,26.61,39.19,18.06,23.66,44.07,36.97,5.68,0.38,47.8,46.03,4.24,0.78
萬芳醫院站,72,14220.75,1200.87,35936.0,12.47,70.08,17.43,26.18,39.3,17.8,24.86,44.37,37.07,5.56,0.36,47.73,45.99,4.48,0.74
辛亥站,83,16696.07,1223.96,40707.0,12.55,69.25,18.17,25.98,38.77,18.12,26.24,45.59,36.01,5.36,0.34,47.41,46.26,4.67,0.76
麟光站,90,20598.17,1383.54,43690.0,13.61,66.8,19.59,24.47,37.9,20.37,29.32,48.58,33.05,4.37,0.26,46.99,46.53,4.93,0.76
六張犁站,116,26704.66,1417.52,54932.0,14.15,66.11,19.74,24.0,37.65,21.4,29.86,49.12,32.26,4.13,0.25,46.86,46.61,5.28,0.75
科技大樓站,128,28482.53,1431.14,57898.0,14.33,65.78,19.89,23.71,37.66,21.79,30.24,49.24,32.05,4.05,0.24,46.95,46.59,5.61,0.75
忠孝復興站,142,33779.1,1415.25,68708.0,14.04,65.85,20.11,23.81,37.72,21.33,30.54,48.74,32.8,4.11,0.22,46.7,46.31,5.51,0.75
南京復興站,127,29211.11,1391.34,60180.0,13.69,66.13,20.19,23.98,37.86,20.71,30.53,47.71,33.97,4.32,0.23,46.61,45.9,5.45,0.77
中山國中站,100,22882.36,1366.93,47903.0,13.51,66.66,19.86,24.33,38.06,20.27,29.79,46.29,35.22,4.66,0.24,46.63,45.66,5.35,0.78
松山機場站,94,21532.52,1341.76,45868.0,13.26,67.25,19.51,24.8,38.19,19.71,29.02,46.56,35.16,4.7,0.23,46.61,45.95,5.19,0.78
大直站,57,12753.86,1293.76,28828.0,13.26,68.04,18.68,25.54,38.22,19.48,27.46,44.22,36.6,5.51,0.31,47.15,45.72,4.66,0.8
劍南路站,31,8067.21,1362.47,17030.0,13.55,68.56,17.87,26.18,37.91,19.76,26.06,45.99,35.07,4.99,0.29,47.23,47.02,4.37,0.79
西湖站,36,9221.2,1323.36,20312.0,13.72,69.58,16.68,26.73,38.33,19.71,23.98,45.5,35.46,4.95,0.29,47.35,46.8,4.14,0.83
港墘站,41,11127.93,1352.78,23809.0,13.51,70.6,15.88,27.34,38.72,19.13,22.5,45.48,35.59,5.05,0.29,47.44,46.89,4.33,0.86
文德站,42,11155.81,1336.67,24541.0,14.01,71.53,14.47,27.77,39.0,19.59,20.22,43.99,36.26,5.34,0.33,47.69,46.62,4.28,0.87
內湖站,36,9583.9,1300.75,21902.0,14.67,72.12,13.21,28.44,38.75,20.35,18.32,43.35,36.57,5.07,0.31,47.63,46.27,4.01,0.88
大湖公園站,37,9875.05,1319.31,22191.0,14.53,72.28,13.2,28.32,39.07,20.11,18.26,43.48,36.62,5.02,0.31,47.63,46.39,4.26,0.89
葫洲站,49,11160.19,1245.42,26708.0,13.61,72.72,13.69,28.45,39.48,18.71,18.83,41.58,38.6,5.81,0.35,48.02,46.0,4.49,0.88
東湖站,51,10924.61,1221.45,26673.0,13.05,73.49,13.48,28.48,40.22,17.76,18.35,40.57,40.06,5.9,0.36,48.1,45.74,4.79,0.84
南港軟體園區站,51,10073.43,1188.61,25777.0,13.08,73.42,13.51,28.21,40.38,17.82,18.4,39.05,41.07,6.34,0.4,48.28,45.4,5.02,0.82
南港展覽館站,45,8724.77,1174.58,22741.0,13.38,73.27,13.36,28.18,40.18,18.26,18.24,38.48,41.14,6.51,0.41,48.32,45.27,5.05,0.82
新店站,48,6242.16,1078.28,18264.0,9.66,71.63,18.7,26.18,41.08,13.48,26.1,39.92,44.19,5.74,0.36,47.7,45.32,4.71,0.59
新店區公所站,63,9108.29,1113.07,25656.0,10.87,70.99,18.13,26.08,40.33,15.31,25.54,41.06,41.8,5.74,0.36,47.68,45.54,4.65,0.65
七張站,84,12880.04,1106.34,36322.0,11.35,70.93,17.71,26.26,40.04,16.0,24.97,41.43,40.93,5.77,0.38,47.72,45.46,4.62,0.66
小碧潭站,88,11513.43,1056.76,34836.0,10.73,71.38,17.9,26.24,40.6,15.03,25.07,38.98,43.73,6.04,0.38,47.75,44.98,4.73,0.63
大坪林站,106,15553.36,1105.03,44049.0,11.58,70.45,17.94,26.19,39.65,16.44,25.47,41.38,40.69,5.82,0.37,47.68,45.4,4.69,0.67
景美站,122,17727.95,1106.2,50048.0,11.6,70.26,18.12,26.07,39.58,16.51,25.79,41.72,40.41,5.74,0.37,47.58,45.31,4.74,0.67
萬隆站,148,22029.15,1159.67,58340.0,12.1,69.18,18.71,25.39,39.3,17.49,27.04,43.6,38.5,5.34,0.34,47.36,45.43,5.02,0.67
公館站,165,28253.33,1290.7,65983.0,13.86,67.14,18.99,24.35,38.25,20.65,28.29,45.73,35.29,4.7,0.3,47.27,45.83,5.42,0.69
台電大樓站,168,28514.72,1295.12,67312.0,13.74,66.93,19.31,24.24,38.17,20.53,28.85,45.1,35.75,4.94,0.34,47.4,45.47,5.55,0.7
古亭站,167,27580.41,1279.54,65924.0,13.42,67.02,19.55,24.36,38.25,20.03,29.17,44.09,36.63,5.36,0.36,47.49,45.03,5.63,0.71
小南門站,144,22571.92,1222.02,57263.0,13.51,67.66,18.85,24.98,38.34,19.97,27.85,41.32,38.39,6.24,0.41,47.82,44.33,5.67,0.77
西門站,159,21341.4,1154.28,58165.0,12.99,68.56,18.47,25.74,38.57,18.94,26.94,38.77,40.59,7.07,0.45,48.02,43.54,5.59,0.8
北門站,173,21594.42,1117.78,61276.0,12.65,69.13,18.23,26.01,38.84,18.31,26.37,37.63,41.85,7.29,0.44,48.1,43.12,5.41,0.79
松江南京站,125,27823.19,1394.72,58043.0,14.41,65.96,19.66,23.93,37.7,21.84,29.8,46.12,34.56,4.6,0.24,46.89,45.51,5.74,0.78
台北小巨蛋站,124,27936.02,1362.73,58946.0,13.09,66.61,20.31,24.44,37.89,19.65,30.5,47.48,34.5,4.59,0.24,46.78,46.19,5.05,0.78
南京三民站,111,24550.57,1341.63,53107.0,13.25,66.92,19.83,24.91,37.67,19.8,29.64,46.66,34.76,4.93,0.28,46.99,46.59,4.88,0.79
松山站,88,18870.39,1302.39,42797.0,13.18,67.97,18.84,25.61,37.96,19.39,27.72,45.52,35.56,5.3,0.31,47.42,46.56,4.69,0.82
頂埔站(規劃中),30,3059.16,843.21,12895.0,13.01,75.4,11.55,30.34,39.46,17.26,15.32,27.93,50.45,7.95,0.5,49.76,42.46,3.79,0.74
媽祖田站(規劃中),24,2739.91,942.52,10190.0,14.82,73.53,11.64,29.15,38.78,20.15,15.83,29.48,47.67,7.42,0.48,49.71,43.55,4.28,0.8
長壽山站(規劃中),16,2375.03,1044.43,8003.0,17.42,71.27,11.35,27.18,38.44,24.44,15.92,32.84,43.3,5.86,0.44,48.96,44.53,5.52,0.86
橫溪站(規劃中),22,2757.35,992.21,10791.0,16.45,72.58,10.99,28.2,38.47,22.66,15.14,31.4,45.75,5.91,0.41,48.99,43.11,4.99,0.87
龍埔站(規劃中),23,2696.4,987.33,10681.0,16.38,72.6,11.03,28.24,38.44,22.57,15.19,31.14,45.94,6.04,0.42,49.12,43.04,4.92,0.85
三峽站(規劃中),25,2886.78,979.9,11528.0,16.21,72.68,11.12,28.24,38.52,22.31,15.3,30.98,46.12,6.18,0.42,49.19,42.94,4.84,0.86
台北大學站(規劃中),28,3297.19,955.43,13361.0,15.94,72.95,11.11,28.63,38.43,21.85,15.24,30.89,46.35,6.33,0.43,49.01,42.7,4.95,0.85
鶯歌車站(規劃中),26,2901.87,933.38,12027.0,16.03,72.64,11.33,28.61,38.2,22.07,15.6,30.19,46.41,6.83,0.46,49.01,42.8,4.97,0.84
陶瓷老街站(規劃中),26,2544.1,870.37,11448.0,14.97,73.31,11.71,29.34,38.16,20.42,15.98,28.68,47.86,7.85,0.53,49.37,42.53,4.78,0.81
國華站(規劃中),26,2132.97,796.48,9855.0,13.73,74.56,11.69,31.05,37.73,18.41,15.68,26.88,49.64,9.0,0.63,50.03,42.86,4.59,0.83
永吉公園站(規劃中),34,2897.42,803.5,13312.0,13.96,74.51,11.52,31.19,37.5,18.73,15.47,27.0,49.33,8.95,0.63,49.89,42.75,4.53,0.88
鶯桃福德站(規劃中),48,4430.83,835.69,19353.0,14.18,73.3,12.5,30.55,37.1,19.35,17.05,28.39,47.81,8.83,0.61,49.52,43.02,4.47,0.91
豎啣埤站(規劃中),45,4186.42,861.23,17866.0,15.06,72.85,12.11,30.65,36.45,20.67,16.62,28.65,46.65,8.78,0.67,49.57,43.61,4.46,1.0
大湳站(規劃中),42,3711.08,870.12,15792.0,15.16,72.8,12.05,31.16,36.01,20.82,16.55,29.04,46.24,8.66,0.7,49.65,43.9,5.12,1.13
中正紀念堂站(規劃中),153,25996.71,1270.61,62268.0,13.68,66.95,19.37,24.47,38.13,20.44,28.94,43.14,36.91,5.75,0.38,47.6,44.78,5.74,0.76
植物園站(規劃中),142,21411.21,1207.29,55966.0,13.13,67.9,18.99,25.0,38.51,19.34,27.96,41.15,38.85,6.3,0.44,47.91,44.46,5.53,0.74
廈安站(規劃中),145,20141.1,1147.84,56343.0,12.94,68.82,18.25,25.57,38.78,18.8,26.51,39.18,40.45,6.81,0.47,48.09,44.23,5.36,0.74
加蚋站(規劃中),171,21064.26,1059.62,65200.0,12.48,70.03,17.5,26.1,39.3,17.82,24.99,36.9,42.63,7.32,0.51,48.07,43.96,4.89,0.71
永和站(規劃中),201,23176.88,1024.75,74150.0,11.59,70.68,17.74,26.28,39.81,16.39,25.09,36.85,43.94,7.01,0.49,48.12,44.04,4.75,0.69
中和站(規劃中),192,19357.3,954.83,68167.0,11.43,71.57,17.0,26.86,39.99,15.97,23.75,34.39,46.09,7.43,0.51,48.18,43.74,4.33,0.68
雙和醫院站(規劃中),157,16508.74,952.39,58753.0,11.66,72.48,15.87,27.43,40.17,16.08,21.9,33.53,46.83,7.4,0.47,48.3,43.88,4.24,0.69
中和高中站(規劃中),146,15344.25,941.94,55990.0,12.29,73.07,14.64,28.22,39.84,16.81,20.04,32.24,47.33,7.55,0.47,48.48,43.69,4.08,0.71
莒光站(規劃中),147,14438.67,908.61,55226.0,12.5,73.1,14.38,28.87,39.27,17.11,19.68,31.2,47.79,7.89,0.49,48.77,43.54,3.95,0.73
廷寮站(規劃中),113,11389.54,900.64,43602.0,12.45,73.77,13.77,29.39,39.34,16.88,18.67,30.93,48.3,7.74,0.48,48.72,43.52,4.05,0.75
清水站(規劃中),98,9898.41,885.92,38708.0,12.25,74.36,13.38,29.92,39.42,16.48,17.99,30.59,48.68,7.86,0.47,48.92,43.35,4.02,0.76
土城站(規劃中),63,7041.97,872.39,28175.0,12.77,75.67,11.55,30.69,39.66,16.88,15.26,29.8,49.34,7.49,0.45,49.03,42.87,3.97,0.76
埤塘站(規劃中),52,5634.95,857.42,23123.0,12.72,75.75,11.51,30.76,39.57,16.79,15.2,29.65,49.46,7.54,0.47,49.2,42.71,3.81,0.77
中華中學站(規劃中),69,7250.34,857.22,29661.0,12.65,75.34,12.0,30.45,39.51,16.79,15.93,29.68,49.29,7.76,0.46,49.11,42.89,3.91,0.75
溪州站(規劃中),65,6683.56,848.06,27752.0,12.84,75.22,11.94,30.48,39.31,17.06,15.87,28.98,49.63,7.97,0.46,49.35,42.71,3.84,0.76
彭福站(規劃中),53,5386.16,836.88,22863.0,12.92,75.02,12.05,30.24,39.25,17.23,16.06,28.11,50.16,8.2,0.49,49.57,42.54,3.91,0.75
育林國小站(規劃中),50,4911.72,834.62,20748.0,13.23,75.12,11.65,30.7,38.77,17.61,15.51,28.12,50.04,8.05,0.44,49.52,42.7,3.82,0.77
樹人家商站(規劃中),65,5980.41,818.0,26026.0,13.13,75.08,11.78,30.91,38.56,17.49,15.69,27.76,50.38,8.17,0.45,49.41,42.54,3.82,0.76
潭底站(規劃中),89,8557.63,818.29,36701.0,13.06,75.26,11.67,31.28,38.54,17.36,15.51,28.42,50.0,7.92,0.45,49.23,42.74,3.89,0.79
監理所站(規劃中),73,6911.4,809.01,30072.0,13.41,75.31,11.28,31.37,38.38,17.81,14.98,28.0,50.33,7.7,0.43,49.28,42.62,3.88,0.8
三角埔站(規劃中),55,5084.26,800.29,22160.0,13.37,75.38,11.25,31.66,38.24,17.73,14.92,27.91,50.68,7.55,0.41,49.31,42.61,3.89,0.81
迴龍站(規劃中),52,4859.31,799.36,21098.0,13.45,75.62,10.93,31.8,38.38,17.78,14.46,28.05,50.72,7.32,0.39,49.24,42.62,4.17,0.83
南勢角站,143,15380.95,997.66,50409.0,10.99,71.52,17.49,26.13,40.67,15.37,24.45,36.68,45.26,6.52,0.43,47.86,44.02,4.52,0.63
景安站,151,15791.36,983.89,52873.0,10.95,71.71,17.34,26.31,40.68,15.26,24.18,36.01,45.74,6.75,0.45,47.98,43.91,4.54,0.64
永安市場站,184,21587.21,1044.98,66938.0,11.55,70.42,18.03,25.9,39.93,16.4,25.6,38.33,42.99,6.56,0.44,47.87,44.36,4.88,0.67
頂溪站,184,25879.99,1151.6,71735.0,12.91,68.68,18.4,25.07,39.09,18.79,26.79,40.68,39.75,6.12,0.42,47.78,44.6,5.25,0.69
忠孝新生站,151,33487.55,1398.52,69389.0,14.54,65.79,19.69,23.87,37.61,22.09,29.92,47.46,33.41,4.29,0.23,46.78,45.79,5.96,0.77
行天宮站,109,23119.96,1339.28,50123.0,13.8,66.66,19.55,24.49,37.9,20.7,29.33,44.89,35.93,5.04,0.26,46.97,45.38,5.6,0.79
中山國小站,129,20038.05,1210.98,49677.0,12.77,68.32,18.93,25.6,38.47,18.69,27.7,40.82,39.51,6.44,0.36,47.37,44.44,5.3,0.8
大橋頭站,165,17987.4,1023.23,56353.0,11.77,70.49,17.76,26.99,39.2,16.7,25.19,35.14,44.44,8.05,0.46,48.13,42.85,4.82,0.79
台北橋站,180,16791.93,942.36,59735.0,11.8,71.56,16.65,27.81,39.23,16.49,23.27,32.25,46.61,8.69,0.52,48.44,42.45,4.6,0.77
菜寮站,166,14082.84,916.55,52419.0,11.71,72.21,16.09,28.26,39.28,16.21,22.29,30.93,47.76,8.91,0.56,48.91,42.33,4.53,0.76
三重站,161,12518.62,879.05,49383.0,11.35,72.97,15.67,28.77,39.43,15.56,21.48,29.95,48.83,9.17,0.58,49.0,42.08,4.28,0.75
先嗇宮站,139,13978.12,922.59,52148.0,12.56,73.16,14.27,28.66,39.41,17.17,19.5,31.05,47.38,8.34,0.54,48.78,42.95,3.81,0.74
頭前庄站,120,12123.8,929.31,45404.0,13.06,72.66,14.27,28.45,39.08,17.98,19.65,31.27,46.82,8.2,0.52,48.68,43.34,3.68,0.74
新莊站,136,13906.88,930.79,51432.0,13.2,72.82,13.97,28.81,38.91,18.13,19.19,31.46,46.85,7.89,0.48,48.75,43.49,3.73,0.76
輔大站,121,11946.8,860.78,48510.0,13.42,73.83,12.75,29.95,38.56,18.17,17.27,29.65,48.75,7.65,0.44,48.94,42.99,3.55,0.78
丹鳳站,66,6456.18,826.87,26869.0,13.56,74.68,11.75,31.1,38.17,18.16,15.74,28.64,49.93,7.38,0.39,49.05,42.99,3.74,0.8
迴龍站,52,4859.31,799.36,21098.0,13.45,75.62,10.93,31.8,38.38,17.78,14.46,28.05,50.72,7.32,0.39,49.24,42.62,4.17,0.83
三重國小站,178,15971.97,911.75,60202.0,11.91,72.3,15.79,28.28,39.29,16.48,21.84,30.92,47.5,8.98,0.55,48.81,42.51,4.23,0.77
三和國中站,172,13863.35,860.97,57250.0,11.91,73.73,14.37,29.15,39.52,16.15,19.48,29.19,49.04,9.18,0.56,49.1,42.3,4.0,0.76
徐匯中學站,153,11959.45,839.91,51615.0,12.0,74.37,13.63,29.57,39.57,16.13,18.33,28.43,49.76,9.11,0.57,49.22,42.11,3.87,0.76
三民高中站,106,9364.89,831.77,41077.0,12.41,74.88,12.7,30.15,39.32,16.58,16.96,28.13,49.97,8.81,0.56,49.18,42.36,3.97,0.76
蘆洲站,73,7037.94,838.55,30845.0,12.84,75.47,11.68,30.57,39.33,17.01,15.48,28.07,50.04,8.4,0.52,49.21,42.44,4.51,0.77
象山站,102,21511.05,1299.6,48576.0,12.92,67.32,19.76,25.24,37.81,19.2,29.35,46.36,35.11,5.17,0.3,47.11,46.48,4.75,0.79
台北101/世貿站,117,26371.12,1359.9,56587.0,13.5,66.58,19.93,24.57,37.65,20.27,29.93,47.71,33.79,4.63,0.26,46.96,46.67,4.91,0.77
信義安和站,129,30490.78,1433.51,61793.0,14.15,65.79,20.07,23.85,37.52,21.51,30.5,49.07,32.31,4.14,0.23,46.8,46.64,5.3,0.74
大安站,128,30237.74,1449.76,59833.0,14.51,65.43,20.06,23.56,37.49,22.18,30.66,49.68,31.66,3.85,0.22,46.75,46.65,5.73,0.76
大安森林公園站,140,29834.38,1427.76,60451.0,14.59,65.47,19.94,23.58,37.5,22.29,30.46,48.77,32.27,4.05,0.24,46.79,46.23,5.92,0.76
東門站,158,30305.78,1363.65,65296.0,14.11,65.98,19.92,23.91,37.77,21.38,30.19,46.37,34.42,4.7,0.29,47.04,45.47,5.92,0.76
中正紀念堂站,153,25996.71,1270.61,62268.0,13.68,66.95,19.37,24.47,38.13,20.44,28.94,43.14,36.91,5.75,0.38,47.6,44.78,5.74,0.76
台大醫院站,158,25625.07,1249.94,62237.0,13.46,67.41,19.15,24.95,38.21,19.96,28.4,42.04,37.9,6.1,0.39,47.58,44.37,5.85,0.78
台北車站,168,26011.04,1227.28,64594.0,13.18,67.84,18.99,25.23,38.4,19.42,28.0,41.25,38.77,6.32,0.38,47.65,44.16,5.69,0.78
中山站,158,24174.91,1239.99,59085.0,13.22,67.91,18.89,25.29,38.39,19.47,27.81,41.27,38.87,6.18,0.36,47.54,44.22,5.71,0.78
雙連站,152,20407.18,1178.04,52758.0,12.39,68.69,18.91,25.84,38.65,18.04,27.53,39.63,40.66,6.83,0.38,47.57,43.86,5.48,0.79
民權西路站,153,18641.88,1116.08,51389.0,11.82,69.48,18.73,26.42,38.88,17.01,26.95,37.96,42.26,7.42,0.42,47.71,43.57,5.12,0.8
圓山站,148,17632.86,1046.96,53065.0,11.91,69.94,18.16,26.83,38.83,17.03,25.96,36.36,43.18,7.97,0.46,48.01,43.54,4.6,0.8
劍潭站,90,13835.14,1104.34,38843.0,12.24,69.35,18.42,26.74,38.35,17.65,26.56,37.93,41.42,7.82,0.45,47.99,44.61,4.27,0.82
士林站,64,12712.71,1183.9,32830.0,13.49,68.31,18.2,26.44,37.44,19.75,26.65,40.23,38.66,7.12,0.37,47.83,45.96,3.87,0.8
芝山站,62,13019.31,1199.49,33310.0,13.68,68.29,18.04,26.42,37.41,20.04,26.41,40.71,38.13,6.99,0.36,47.82,46.22,3.9,0.8
明德站,60,13028.11,1201.63,33125.0,13.53,68.5,17.97,26.49,37.54,19.75,26.24,41.01,38.07,6.92,0.36,47.86,46.25,3.83,0.8
石牌站,59,12788.25,1210.89,32127.0,13.39,68.57,18.04,26.51,37.62,19.53,26.3,41.51,37.93,6.71,0.35,47.76,46.16,3.89,0.79
唭哩岸站,52,11041.07,1194.15,28291.0,13.43,68.87,17.69,26.6,37.75,19.5,25.68,41.17,38.14,6.76,0.39,47.68,46.15,3.9,0.82
奇岩站,40,8063.36,1166.24,21454.0,13.56,69.12,17.3,26.63,37.93,19.62,25.03,39.96,38.86,7.09,0.41,47.79,45.87,3.92,0.82
北投站,29,5562.42,1112.93,15720.0,13.75,69.39,16.83,26.69,38.12,19.81,24.26,38.67,39.68,7.3,0.44,47.87,45.2,3.64,0.83
新北投站,30,5758.19,1129.06,15997.0,13.59,69.42,16.96,26.62,38.24,19.58,24.43,38.97,39.56,7.27,0.44,47.89,45.33,3.69,0.84
復興崗站,28,4911.92,1050.68,14568.0,11.49,71.48,17.01,27.3,39.64,16.08,23.8,37.57,42.28,7.97,0.56,48.04,45.09,4.0,0.78
忠義站,23,3920.78,1011.55,12311.0,10.97,72.33,16.68,27.53,40.2,15.16,23.06,35.75,43.96,8.58,0.59,48.27,44.62,4.03,0.77
關渡站,13,2069.5,968.87,6942.0,10.54,73.74,15.7,27.93,40.92,14.3,21.29,33.68,46.07,8.97,0.62,48.43,45.02,4.91,0.68
竹圍站,13,2526.78,1033.87,7567.0,10.22,73.42,16.35,26.83,42.1,13.91,22.26,37.37,44.3,7.44,0.56,47.59,45.29,5.96,0.65
紅樹林站,26,2848.03,982.42,9219.0,10.23,73.92,15.89,26.81,42.46,13.84,21.5,36.45,45.81,6.9,0.57,47.43,44.12,5.66,0.57
淡水站,26,2703.21,939.27,9488.0,11.96,73.56,14.54,27.29,41.3,16.26,19.77,35.72,45.69,6.12,0.51,47.64,43.55,5.22,0.62
