,車站種類,車站編號,車站名稱,CAFE_NUM(500),DRINK_NUM(500),BAR_NUM(500),GYM_NUM(500),LODGING_NUM(500)
0,tp_mrt,BL01,台北捷運頂埔站,0,1,0,3,0
1,tp_mrt,BL02,台北捷運永寧站,4,0,0,0,0
2,tp_mrt,BL03,台北捷運土城站,1,1,2,4,1
3,tp_mrt,BL04,台北捷運海山站,2,1,5,6,0
4,tp_mrt,BL05,台北捷運亞東醫院站,5,1,4,1,0
5,tp_mrt,BL06,台北捷運府中站,15,3,13,13,6
6,tp_mrt,BL07,台北捷運板橋站,24,3,8,18,3
7,tp_mrt,BL08,台北捷運新埔站,29,3,7,14,0
8,tp_mrt,BL09,台北捷運江子翠站,16,3,6,9,0
9,tp_mrt,BL10,台北捷運龍山寺站,19,5,9,7,9
10,tp_mrt,BL11,台北捷運西門站,49,20,37,11,60
11,tp_mrt,BL12,台北捷運台北車站,51,6,18,10,60
12,tp_mrt,BL13,台北捷運善導寺站,20,11,31,10,18
13,tp_mrt,BL14,台北捷運忠孝新生站,27,4,10,12,7
14,tp_mrt,BL15,台北捷運忠孝復興站,45,14,38,26,16
15,tp_mrt,BL16,台北捷運忠孝敦化站,54,20,56,33,16
16,tp_mrt,BL17,台北捷運國父紀念館站,40,17,36,16,7
17,tp_mrt,BL18,台北捷運市政府站,29,3,15,9,4
18,tp_mrt,BL19,台北捷運永春站,14,4,3,10,0
19,tp_mrt,BL20,台北捷運後山埤站,10,2,2,12,0
20,tp_mrt,BL21,台北捷運昆陽站,5,2,1,3,0
21,tp_mrt,BL22,台北捷運南港站,4,1,2,5,0
22,tp_mrt,BL23,台北捷運南港展覽館站,4,1,0,4,0
23,tp_mrt,BR01,台北捷運動物園站,0,1,0,0,0
24,tp_mrt,BR02,台北捷運木柵站,0,1,1,1,0
25,tp_mrt,BR03,台北捷運萬芳社區站,0,1,1,1,0
26,tp_mrt,BR04,台北捷運萬芳醫院站,6,0,0,1,0
27,tp_mrt,BR05,台北捷運辛亥站,5,0,0,2,0
28,tp_mrt,BR06,台北捷運麟光站,7,0,1,2,1
29,tp_mrt,BR07,台北捷運六張犁站,19,6,18,5,0
30,tp_mrt,BR08,台北捷運科技大樓站,30,7,12,11,1
31,tp_mrt,BR09,台北捷運大安站,30,8,11,14,3
32,tp_mrt,BR10,台北捷運忠孝復興站,45,14,37,26,16
33,tp_mrt,BR11,台北捷運南京復興站,20,7,15,18,12
34,tp_mrt,BR12,台北捷運中山國中站,14,4,9,12,8
35,tp_mrt,BR13,台北捷運松山機場站,12,0,1,4,0
36,tp_mrt,BR14,台北捷運大直站,12,3,3,3,0
37,tp_mrt,BR15,台北捷運劍南路站,11,2,4,4,0
38,tp_mrt,BR16,台北捷運西湖站,9,3,4,7,0
39,tp_mrt,BR17,台北捷運港墘站,12,1,4,11,0
40,tp_mrt,BR18,台北捷運文德站,8,0,0,5,0
41,tp_mrt,BR19,台北捷運內湖站,8,0,2,3,0
42,tp_mrt,BR20,台北捷運大湖公園站,3,0,1,1,0
43,tp_mrt,BR21,台北捷運葫洲站,5,0,4,4,0
44,tp_mrt,BR22,台北捷運東湖站,5,0,0,6,0
45,tp_mrt,BR23,台北捷運南港軟體園區站,5,1,1,2,0
46,tp_mrt,BR24,台北捷運南港展覽館站,4,1,0,4,0
47,tp_mrt,G01,台北捷運新店站,4,1,2,2,0
48,tp_mrt,G02,台北捷運新店區公所站,7,0,2,7,0
49,tp_mrt,G03,台北捷運七張站,10,2,3,11,0
50,tp_mrt,G03A,台北捷運小碧潭站,4,0,0,1,0
51,tp_mrt,G04,台北捷運大坪林站,9,4,6,7,0
52,tp_mrt,G05,台北捷運景美站,2,0,0,7,0
53,tp_mrt,G06,台北捷運萬隆站,8,0,1,4,0
54,tp_mrt,G07,台北捷運公館站,32,9,11,8,2
55,tp_mrt,G08,台北捷運台電大樓站,48,5,7,16,0
56,tp_mrt,G09,台北捷運古亭站,36,4,6,18,0
57,tp_mrt,G10,台北捷運中正紀念堂站,20,1,3,12,0
58,tp_mrt,G11,台北捷運小南門站,13,4,6,6,10
59,tp_mrt,G12,台北捷運西門站,51,20,37,11,60
60,tp_mrt,G13,台北捷運北門站,39,16,27,10,60
61,tp_mrt,G14,台北捷運中山站,52,14,55,18,60
62,tp_mrt,G15,台北捷運松江南京站,29,12,30,20,36
63,tp_mrt,G16,台北捷運南京復興站,20,7,15,18,11
64,tp_mrt,G17,台北捷運台北小巨蛋站,28,11,12,17,3
65,tp_mrt,G18,台北捷運南京三民站,19,6,10,14,3
66,tp_mrt,G19,台北捷運松山站,6,1,0,10,3
67,tp_mrt,LB01,台北捷運頂埔站,0,1,0,3,0
68,tp_mrt,LB02,台北捷運媽祖田站,0,0,0,2,0
69,tp_mrt,LB03,台北捷運長壽山站,0,0,0,0,0
70,tp_mrt,LB04,台北捷運橫溪站,0,0,0,0,0
71,tp_mrt,LB05,台北捷運龍埔站,5,0,0,2,0
72,tp_mrt,LB06,台北捷運三峽站,11,6,2,6,0
73,tp_mrt,LB07,台北捷運台北大學站,8,0,1,5,0
74,tp_mrt,LB08,台北捷運鶯歌車站,4,3,0,1,1
75,tp_mrt,LB09,台北捷運陶瓷老街站,6,5,0,1,2
76,tp_mrt,LB10,台北捷運國華站,1,3,0,0,1
77,tp_mrt,LB11,台北捷運永吉公園站,0,0,0,0,1
78,tp_mrt,LB12,台北捷運鶯桃福德站,1,4,1,0,0
79,tp_mrt,LB13,台北捷運西坡路口站,0,0,0,0,0
80,tp_mrt,LB14,台北捷運銀和街站,3,3,0,4,0
81,tp_mrt,LG01,台北捷運中正紀念堂站,18,1,3,10,0
82,tp_mrt,LG02,台北捷運植物園站,6,2,0,5,2
83,tp_mrt,LG03,台北捷運廈安站,8,2,1,5,2
84,tp_mrt,LG04,台北捷運加蚋站,7,2,1,4,0
85,tp_mrt,LG05,台北捷運永和站,8,2,3,8,0
86,tp_mrt,LG06,台北捷運中和站,4,3,3,5,0
87,tp_mrt,LG07,台北捷運雙和醫院站,7,1,3,5,0
88,tp_mrt,LG08,台北捷運中和高中站,6,0,1,2,0
89,tp_mrt,LG08A,台北捷運莒光站,2,0,0,1,0
90,tp_mrt,LG09,台北捷運廷寮站,3,1,1,3,1
91,tp_mrt,LG10,台北捷運清水站,2,2,2,8,0
92,tp_mrt,LG11,台北捷運土城站,1,1,2,4,1
93,tp_mrt,LG12,台北捷運埤塘站,4,0,0,2,1
94,tp_mrt,LG13,台北捷運中華中學站,1,0,2,3,1
95,tp_mrt,LG14,台北捷運溪州站,6,3,1,5,0
96,tp_mrt,LG15,台北捷運彭福站,2,1,1,7,0
97,tp_mrt,LG16,台北捷運育林國小站,4,1,0,3,0
98,tp_mrt,LG17,台北捷運樹人家商站,6,2,0,2,1
99,tp_mrt,LG18,台北捷運潭底站,1,0,0,0,0
100,tp_mrt,LG19,台北捷運監理所站,0,0,0,0,0
101,tp_mrt,LG20,台北捷運三角埔站,0,0,0,2,0
102,tp_mrt,LG21,台北捷運迴龍站,0,1,1,3,0
103,tp_mrt,O01,台北捷運南勢角站,4,3,1,9,0
104,tp_mrt,O02,台北捷運景安站,7,3,2,11,0
105,tp_mrt,O03,台北捷運永安市場站,14,5,6,15,2
106,tp_mrt,O04,台北捷運頂溪站,14,1,4,9,1
107,tp_mrt,O05,台北捷運古亭站,36,4,6,18,0
108,tp_mrt,O06,台北捷運東門站,30,2,5,17,5
109,tp_mrt,O07,台北捷運忠孝新生站,28,4,10,12,6
110,tp_mrt,O08,台北捷運松江南京站,29,12,32,20,36
111,tp_mrt,O09,台北捷運行天宮站,16,6,7,10,13
112,tp_mrt,O10,台北捷運中山國小站,28,10,17,14,15
113,tp_mrt,O11,台北捷運民權西路站,28,6,17,13,16
114,tp_mrt,O12,台北捷運大橋頭站,16,2,4,5,4
115,tp_mrt,O13,台北捷運台北橋站,3,0,3,8,2
116,tp_mrt,O14,台北捷運菜寮站,7,1,1,11,3
117,tp_mrt,O15,台北捷運三重站,5,1,1,5,1
118,tp_mrt,O16,台北捷運先嗇宮站,2,0,0,2,0
119,tp_mrt,O17,台北捷運頭前庄站,0,0,0,3,0
120,tp_mrt,O18,台北捷運新莊站,2,1,2,5,0
121,tp_mrt,O19,台北捷運輔大站,3,0,4,7,0
122,tp_mrt,O20,台北捷運丹鳳站,2,1,2,5,0
123,tp_mrt,O21,台北捷運迴龍站,0,1,1,3,0
124,tp_mrt,O50,台北捷運三重國小站,5,0,2,5,2
125,tp_mrt,O51,台北捷運三和國中站,7,0,2,7,1
126,tp_mrt,O52,台北捷運徐匯中學站,9,0,2,8,0
127,tp_mrt,O53,台北捷運三民高中站,5,0,1,9,0
128,tp_mrt,O54,台北捷運蘆洲站,5,0,0,3,0
129,tp_mrt,R02,台北捷運象山站,19,3,10,10,0
130,tp_mrt,R03,台北捷運台北101/世貿站,35,9,20,13,4
131,tp_mrt,R04,台北捷運信義安和站,38,20,39,20,5
132,tp_mrt,R05,台北捷運大安站,30,8,10,14,4
133,tp_mrt,R06,台北捷運大安森林公園站,18,3,7,9,6
134,tp_mrt,R07,台北捷運東門站,30,2,5,17,5
135,tp_mrt,R08,台北捷運中正紀念堂站,20,1,3,12,0
136,tp_mrt,R09,台北捷運台大醫院站,29,1,5,3,60
137,tp_mrt,R10,台北捷運台北車站,51,6,18,10,60
138,tp_mrt,R11,台北捷運中山站,53,14,55,18,60
139,tp_mrt,R12,台北捷運雙連站,35,8,34,19,40
140,tp_mrt,R13,台北捷運民權西路站,28,6,17,13,16
141,tp_mrt,R14,台北捷運圓山站,18,6,9,4,2
142,tp_mrt,R15,台北捷運劍潭站,7,4,4,6,0
143,tp_mrt,R16,台北捷運士林站,15,5,10,12,5
144,tp_mrt,R17,台北捷運芝山站,9,2,2,10,2
145,tp_mrt,R18,台北捷運明德站,10,1,1,8,0
146,tp_mrt,R19,台北捷運石牌站,10,1,0,6,0
147,tp_mrt,R20,台北捷運唭哩岸站,3,0,1,4,0
148,tp_mrt,R21,台北捷運奇岩站,6,0,2,4,0
149,tp_mrt,R22,台北捷運北投站,12,0,2,4,2
150,tp_mrt,R22A,台北捷運新北投站,13,1,0,7,4
151,tp_mrt,R23,台北捷運復興崗站,1,0,0,2,0
152,tp_mrt,R24,台北捷運忠義站,6,2,0,1,0
153,tp_mrt,R25,台北捷運關渡站,6,3,0,2,2
154,tp_mrt,R26,台北捷運竹圍站,4,1,1,2,0
155,tp_mrt,R27,台北捷運紅樹林站,1,1,0,1,1
156,tp_mrt,R28,台北捷運淡水站,12,7,8,7,6
157,tp_lr,V01,台北捷運紅樹林站,1,1,0,1,2
158,tp_lr,V02,台北捷運竿蓁林站,1,0,0,3,1
159,tp_lr,V03,台北捷運淡金鄧公站,0,0,0,1,0
160,tp_lr,V04,台北捷運淡江大學站,1,1,0,0,0
161,tp_lr,V05,台北捷運淡金北新站,2,0,2,4,0
162,tp_lr,V06,台北捷運新市一路站,5,5,3,4,0
163,tp_lr,V07,台北捷運淡水行政中心站,1,4,1,2,0
164,tp_lr,V08,台北捷運濱海義山站,1,2,0,2,0
165,tp_lr,V09,台北捷運濱海沙崙站,0,2,0,3,0
166,tp_lr,V10,台北捷運淡海新市鎮站,0,1,2,2,0
167,tp_lr,V11,台北捷運崁頂站,0,1,2,0,0
168,tp_lr,V26,台北捷運淡水魚人碼頭站,0,0,3,0,2
169,tp_lr,V27,台北捷運沙崙站,0,2,0,3,0
170,tp_lr,V28,台北捷運台北海洋大學站,0,1,0,2,0
171,tp_mrt,Y01,台北捷運動物園站,0,1,0,0,0
172,tp_mrt,Y02,台北捷運政大站,8,0,0,1,0
173,tp_mrt,Y03,台北捷運文山區公所站,8,0,0,4,0
174,tp_mrt,Y04,台北捷運馬明潭站,3,0,2,5,0
175,tp_mrt,Y05,台北捷運溝子口站,1,0,1,1,0
176,tp_mrt,Y06,台北捷運寶斗厝站,6,1,3,1,0
177,tp_mrt,Y07,台北捷運大坪林站,9,4,6,7,0
178,tp_mrt,Y08,台北捷運十四張站,2,0,0,2,0
179,tp_mrt,Y09,台北捷運秀朗橋站,1,0,0,4,0
180,tp_mrt,Y10,台北捷運景平站,4,5,2,13,0
181,tp_mrt,Y11,台北捷運景安站,7,3,2,11,0
182,tp_mrt,Y12,台北捷運中和站,3,3,3,5,0
183,tp_mrt,Y13,台北捷運橋和站,5,2,2,3,0
184,tp_mrt,Y14,台北捷運中原站,3,0,0,3,0
185,tp_mrt,Y15,台北捷運板新站,9,1,3,5,0
186,tp_mrt,Y16,台北捷運板橋站,19,3,8,11,1
187,tp_mrt,Y17,台北捷運新埔民生站,26,4,9,9,0
188,tp_mrt,Y18,台北捷運頭前庄站,0,0,0,3,0
189,tp_mrt,Y19,台北捷運幸福站,6,1,1,5,0
190,tp_mrt,Y20,台北捷運新北產業園區站,4,1,1,4,0
191,tp_mrt,Y21,台北輕軌工商展覽中心站,3,0,0,1,0
192,tp_mrt,Y22,台北輕軌更寮站,0,0,0,0,0
193,tp_mrt,Y23,台北輕軌中路站,1,1,1,2,0
194,tp_mrt,Y24,台北輕軌徐匯中學站,8,0,3,9,0
195,tp_mrt,Y25,台北輕軌分子尾站,5,0,0,5,0
196,tp_mrt,Y26,台北輕軌五華國小站,1,0,0,2,0
197,tp_mrt,Y27,台北輕軌社子站,3,0,0,2,0
198,tp_mrt,Y28,台北輕軌士林區公所站,14,4,7,6,2
199,tp_mrt,Y29,台北輕軌士林站,14,4,8,11,2
200,tp_mrt,Y30,台北輕軌雨農站,12,2,6,9,2
201,tp_mrt,Y31,台北輕軌故宮博物院站,1,0,0,0,0
202,tp_mrt,Y32,台北輕軌劍南路站,11,2,2,5,0
203,ty_mrt,A1,桃園捷運台北車站,55,8,13,10,60
204,ty_mrt,A2,桃園捷運三重站,3,1,0,3,1
205,ty_mrt,A3,桃園捷運新北產業園區站,4,1,0,4,0
206,ty_mrt,A4,桃園捷運新莊副都心站,4,0,0,2,0
207,ty_mrt,A5,桃園捷運泰山站,2,1,0,4,0
208,ty_mrt,A6,桃園捷運泰山貴和站,1,0,0,2,0
209,ty_mrt,A7,桃園捷運體育大學站,1,0,0,1,0
210,ty_mrt,A8,桃園捷運長庚醫院站,4,7,4,5,1
211,ty_mrt,A9,桃園捷運林口站,2,3,4,2,1
212,ty_mrt,A10,桃園捷運山鼻站,1,0,0,1,0
213,ty_mrt,A11,桃園捷運坑口站,0,0,0,0,0
214,ty_mrt,A12,桃園捷運機場第一航廈站,7,9,3,1,0
215,ty_mrt,A13,桃園捷運機場第二航廈站,8,9,5,1,1
216,ty_mrt,A14,桃園捷運機場第三航廈站,8,9,5,1,1
217,ty_mrt,A14a,桃園捷運機場旅館站,0,0,1,0,0
218,ty_mrt,A15,桃園捷運大園站,1,1,0,0,1
219,ty_mrt,A16,桃園捷運橫山站,0,0,0,0,0
220,ty_mrt,A17,桃園捷運領航站,0,1,0,1,3
221,ty_mrt,A18,桃園捷運高鐵桃園站,8,3,0,3,4
222,ty_mrt,A19,桃園捷運桃園體育園區站,3,1,0,2,0
223,ty_mrt,A20,桃園捷運興南站,2,0,0,0,0
224,ty_mrt,A21,桃園捷運環北站,14,9,6,4,3
225,ty_mrt,A22,桃園捷運老街溪站,28,0,27,7,4
226,ty_mrt,A23,桃園捷運中壢車站,13,0,13,5,10
227,ty_mrt,G01,桃園捷運八德站,0,3,2,2,0
228,ty_mrt,G02,桃園捷運建國路站,1,1,1,4,0
229,ty_mrt,G03,桃園捷運麻園站,1,1,1,0,0
230,ty_mrt,G04,桃園捷運大湳站,3,3,0,4,0
231,ty_mrt,G05,桃園捷運忠勇西街站,4,3,0,1,0
232,ty_mrt,G06,桃園捷運陽明公園站,3,1,0,0,0
233,ty_mrt,G07,桃園捷運桃園車站站,16,0,12,9,10
234,ty_mrt,G08,桃園捷運永和市場站,14,0,17,11,8
235,ty_mrt,G09,桃園捷運民光路站,10,3,5,3,1
236,ty_mrt,G10,桃園捷運大興西路站,10,7,8,12,1
237,ty_mrt,G11,桃園捷運展演中心站,17,10,7,14,0
238,ty_mrt,G12,桃園捷運南崁轉運站站,3,1,0,4,0
239,ty_mrt,G13,桃園捷運南竹站,3,0,1,2,0
240,ty_mrt,G13a,桃園捷運蘆竹工業區站,1,0,0,1,0
241,ty_mrt,G14,桃園捷運長興站,0,0,0,0,0
242,ty_mrt,G15,桃園捷運航空城一站,0,0,0,0,0
243,ty_mrt,G16,桃園捷運航空城二站,0,0,0,0,0
244,ty_mrt,G17,桃園捷運航空城三站,0,0,0,1,0
245,ty_mrt,G18,桃園捷運橫山站,0,0,0,0,0
246,ty_mrt,G31,桃園捷運菓林站,3,0,0,0,0
247,ty_mrt,G32,桃園捷運坑口站,0,0,0,0,0
248,ty_mrt,GE01,桃園捷運霄裡站,0,0,0,2,1
249,ty_mrt,GE02,桃園捷運士校站,1,4,0,2,1
250,ty_mrt,GE03,桃園捷運富台國小站,4,1,1,2,0
251,ty_mrt,GE04,桃園捷運榮民服務處站,3,0,1,2,0
252,ty_mrt,GE05,桃園捷運中壢體育園區站,7,5,5,2,2
253,ty_mrt,GA1,桃園捷運埔頂新光站,0,0,0,0,0
254,ty_mrt,GA2,桃園捷運仁善國小站,0,1,0,0,0
255,ty_mrt,GA3,桃園捷運埔頂轉運站站,1,1,0,1,0
256,ty_mrt,BRH01,桃園捷運桃園火車站站,15,0,12,9,10
257,ty_mrt,BRH02,桃園捷運桃園巨蛋站,3,2,1,6,1
258,ty_mrt,BRH03,桃園捷運大同路口站,4,4,0,1,0
259,ty_mrt,BRH04,桃園捷運振興路口站,1,0,0,0,0
260,ty_mrt,BRH05,桃園捷運嶺頂站,0,0,0,0,0
261,ty_mrt,BRH06,桃園捷運大棟橋站,0,0,0,0,0
262,ty_mrt,BRH07,桃園捷運龍華街口站,0,2,0,0,0
263,ty_mrt,BRH08,桃園捷運迴龍站站,0,1,1,3,0
264,ty_mrt,O01,桃園捷運山子頂站,4,3,1,0,1
265,ty_mrt,O02,桃園捷運南勢站,1,3,0,0,0
266,ty_mrt,O03,桃園捷運平鎮站,3,0,0,2,2
267,ty_mrt,O04,桃園捷運褒忠祠站,6,4,0,2,1
268,ty_mrt,O05,桃園捷運中壢高中站,8,4,1,2,2
269,ty_mrt,O06,桃園捷運環北站,14,13,8,4,3
270,ty_mrt,O07,桃園捷運新街站,8,3,4,7,1
271,ty_mrt,O08,桃園捷運忠福站,3,0,0,1,0
272,ty_mrt,O09,桃園捷運文化站,5,1,0,1,0
273,ty_mrt,O10,桃園捷運龍山站,0,0,0,0,0
274,ty_mrt,O11,桃園捷運龍安站,1,1,0,2,0
275,ty_mrt,O12,桃園捷運中福站,3,0,2,1,0
276,ty_mrt,O13,桃園捷運埔子站,3,0,3,3,0
277,ty_mrt,O14,桃園捷運大興西路站,15,6,8,12,0
278,ty_mrt,O15,桃園捷運大檜溪站,3,0,3,2,0
279,train,0980,台鐵南港站,4,2,2,5,0
280,train,0990,台鐵松山站,7,1,1,10,3
281,train,1000,台鐵台北站,57,7,19,10,60
282,train,1010,台鐵萬華站,14,2,3,4,6
283,train,0950,台鐵五堵站,1,0,0,2,0
284,train,0960,台鐵汐止站,3,4,3,7,0
285,train,0970,台鐵汐科站,8,1,1,5,0
286,train,1020,台鐵板橋站,20,4,8,17,3
287,train,1030,台鐵浮洲站,0,0,1,0,0
288,train,1040,台鐵樹林站,8,2,2,4,1
289,train,1050,台鐵南樹林站,1,0,0,1,0
290,train,1060,台鐵山佳站,0,0,0,1,0
291,train,1070,台鐵鶯歌站,4,3,1,1,1
292,train,7290,台鐵福隆站,2,2,1,0,1
293,train,7300,台鐵貢寮站,2,2,1,0,1
294,train,7310,台鐵雙溪站,2,0,0,0,1
295,train,7320,台鐵牡丹站,0,0,0,0,0
296,train,7330,台鐵三貂嶺站,1,0,0,0,0
297,train,7331,台鐵大華站,1,0,0,0,0
298,train,7332,台鐵十分站,3,1,1,0,0
299,train,7333,台鐵望古站,0,0,0,0,0
300,train,7334,台鐵嶺腳站,0,0,0,0,0
301,train,7335,台鐵平溪站,0,0,0,1,0
302,train,7336,台鐵青桐站,1,0,0,0,1
303,train,7350,台鐵猴硐站,3,0,0,0,0
304,train,7360,台鐵瑞芳站,3,2,1,0,9
305,train,7362,台鐵八斗子站,3,0,0,0,1
306,train,7380,台鐵四腳亭站,0,1,0,1,0
307,train,0900,台鐵基隆站,26,14,19,6,6
308,train,0910,台鐵三坑站,17,3,13,6,2
309,train,0920,台鐵八堵站,0,0,0,0,0
310,train,0930,台鐵七堵站,1,2,0,1,0
311,train,940,台鐵百福站,0,0,0,0,0
312,train,7361,台鐵海科館站,3,1,0,0,1
313,train,7390,台鐵暖暖站,2,0,0,0,0
314,train,1080,台鐵桃園站,15,0,12,9,10
315,train,1090,台鐵內壢站,9,0,1,4,0
316,train,1100,台鐵中壢站,14,0,19,6,12
317,train,1110,台鐵埔心站,3,4,1,1,0
318,train,1120,台鐵楊梅站,4,7,0,3,1
319,train,1130,台鐵富岡站,0,3,0,0,0
320,train,1140,台鐵新富站,0,0,0,0,0
321,thsr,Nangang,高鐵南港站,4,2,2,5,0
322,thsr,Taipei,高鐵台北站,57,7,19,11,60
323,thsr,Banqiao,高鐵板橋站,24,2,7,17,3
324,thsr,Taoyuan,高鐵桃園站,7,3,0,3,3
325,train,R1,台鐵鳳鳴站,0,1,0,0,0
326,train,R2,台鐵桃園站,15,0,12,9,8
327,train,R3,台鐵國際路站,2,5,0,3,1
328,train,R4,台鐵永豐路站,0,0,0,1,0
329,train,R5,台鐵內壢站,7,4,1,4,0
330,train,R6,台鐵中原大學站,12,12,8,4,0
331,train,R7,台鐵中壢站,13,0,19,6,12
332,train,R8,台鐵平鎮站(未確定站址),1,0,0,3,1
333,train,R9,台鐵埔心站,3,5,1,1,0
334,train,R10,台鐵楊梅站,6,8,0,3,1
335,train,R11,台鐵富岡站,0,3,0,0,0
